Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,825,92686
,,,,,,,826,94292
,,,,,,,827,98104
,,,,,,,828,98464
,,,,,,,829,99306
,,,,,,,830,95482
,,,,,,,831,95788
,,,,,,,832,100562
,,,,,,,833,109292
,,,,,,,834,117946
,,,,,,,835,121234
,,,,,,,836,120142
,,,,,,,837,117060
,,,,,,,838,112986
,,,,,,,839,107140
,,,,,,,840,101240
,,,,,,,841,95668
,,,,,,,842,91668
,,,,,,,843,89844
,,,,,,,844,89386
,,,,,,,845,89746
,,,,,,,846,91668
,,,,,,,847,95614
,,,,,,,848,94280
,,,,,,,849,92980
,,,,,,,850,91200
,,,,,,,851,83956
,,,,,,,852,77006
,,,,,,,853,72570
,,,,,,,854,74658
,,,,,,,855,80580
,,,,,,,856,91778
,,,,,,,857,104332
,,,,,,,858,116350
,,,,,,,859,121562
,,,,,,,860,119498
,,,,,,,861,116186
,,,,,,,862,112910
,,,,,,,863,109184
,,,,,,,864,102594
,,,,,,,865,94510
,,,,,,,866,91712
,,,,,,,867,90992
,,,,,,,868,91810
,,,,,,,869,94444
,,,,,,,870,102158
,,,,,,,871,119848
,,,,,,,872,121190
,,,,,,,873,107490
,,,,,,,874,95002
,,,,,,,875,87790
,,,,,,,876,82884
,,,,,,,877,80710
,,,,,,,878,81672
,,,,,,,879,86020
,,,,,,,880,96312
,,,,,,,881,113520
,,,,,,,882,130248
,,,,,,,883,134072
,,,,,,,884,129680
,,,,,,,885,125998
,,,,,,,886,113892
,,,,,,,887,104004
,,,,,,,888,95798
,,,,,,,889,90488
,,,,,,,890,87506
,,,,,,,891,86622
,,,,,,,892,87232
,,,,,,,893,89702
,,,,,,,894,97296
,,,,,,,895,115390
,,,,,,,896,119016
,,,,,,,897,103632
,,,,,,,898,91658
,,,,,,,899,85354
,,,,,,,900,81814
,,,,,,,901,80852
,,,,,,,902,81540
,,,,,,,903,89550
,,,,,,,904,100170
,,,,,,,905,114558
,,,,,,,906,130816
,,,,,,,907,134062
,,,,,,,908,129866
,,,,,,,909,126654
,,,,,,,910,115018
,,,,,,,911,105206
,,,,,,,912,97220
,,,,,,,913,92784
,,,,,,,914,90336
,,,,,,,915,89386
,,,,,,,916,89736
,,,,,,,917,92302
,,,,,,,918,100432
,,,,,,,919,118908
,,,,,,,920,128718
,,,,,,,921,125846
,,,,,,,922,120764
,,,,,,,923,118110
,,,,,,,924,115554
,,,,,,,925,112920
,,,,,,,926,114166
,,,,,,,927,117006
,,,,,,,928,122634
,,,,,,,929,131790
,,,,,,,930,144222
,,,,,,,931,143950
,,,,,,,932,138814
,,,,,,,933,135208
,,,,,,,934,121880
,,,,,,,935,111586
,,,,,,,936,103000
,,,,,,,937,96706
,,,,,,,938,93744
,,,,,,,939,92664
